domain,description,nameserver,type,reason,error
microsoft.com,Information Technology;Business,ns2-39.azure-dns.net,third,"different SOA (domain=ns1-39.azure-dns.com, ns=ns1-01.azure-dns.com)",
microsoft.com,Information Technology;Business,ns3-39.azure-dns.org,third,"different SOA (domain=ns1-39.azure-dns.com, ns=ns1-01.azure-dns.com)",
microsoft.com,Information Technology;Business,ns4-39.azure-dns.info,third,"different SOA (domain=ns1-39.azure-dns.com, ns=ns1-01.azure-dns.com)",
microsoft.com,Information Technology;Business,ns1-39.azure-dns.com,third,"different SOA (domain=ns1-39.azure-dns.com, ns=ns1-01.azure-dns.com)",
amazon.com,Ecommerce,ns-264.awsdns-33.com,third,"different SOA (domain=dns-external-route53.us-east-1.amazonaws.com, ns=g-ns-609.awsdns-33.com)",
amazon.com,Ecommerce,ns-521.awsdns-01.net,third,"different SOA (domain=dns-external-route53.us-east-1.amazonaws.com, ns=g-ns-1345.awsdns-01.net)",
amazon.com,Ecommerce,ns-1447.awsdns-52.org,third,"different SOA (domain=dns-external-route53.us-east-1.amazonaws.com, ns=g-ns-180.awsdns-52.org)",
amazon.com,Ecommerce,ns-1707.awsdns-21.co.uk,third,"different SOA (domain=dns-external-route53.us-east-1.amazonaws.com, ns=g-ns-1496.awsdns-21.co.uk)",
chirpbooks.com,Content Servers,ns-1378.awsdns-44.org,third,"different SOA (domain=ns-1378.awsdns-44.org, ns=g-ns-172.awsdns-44.org)",
chirpbooks.com,Content Servers,ns-1578.awsdns-05.co.uk,third,"different SOA (domain=ns-1378.awsdns-44.org, ns=g-ns-901.awsdns-05.co.uk)",
chirpbooks.com,Content Servers,ns-400.awsdns-50.com,third,"different SOA (domain=ns-1378.awsdns-44.org, ns=g-ns-51.awsdns-50.com)",
chirpbooks.com,Content Servers,ns-863.awsdns-43.net,third,"different SOA (domain=ns-1378.awsdns-44.org, ns=g-ns-1387.awsdns-43.net)",
