website,cdns,cdn_types,uses_third_party,critical_dependency,redundant,mult_third,step_id
anota.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
anthropic.com,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
axon.ai,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
character.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
chatgpt.com,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
claude.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
claude.com,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
cortana.ai,microsoft,"{""microsoft"": ""third""}",True,True,False,False,"step 5 (SOA), "
crushon.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
datahive.ai,cloudflare|firebase,"{""cloudflare"": ""third"", ""firebase"": ""third""}",True,False,True,True,"step 5 (SOA), step 6, "
dimensions.ai,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
forethought.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
gmgn.ai,amazon|cloudflare,"{""amazon"": ""third"", ""cloudflare"": ""third""}",True,False,True,True,"step 5 (SOA), step 6, "
granola.ai,amazon|vercel,"{""amazon"": ""third"", ""vercel"": ""third""}",True,False,True,True,"step 5 (SOA), step 6, "
higgsfield.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
jetbrains.ai,amazon,"{""amazon"": ""third""}",True,True,False,False,"step 5 (SOA), "
krisp.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
lmstudio.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
lovart.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 6, "
mikmak.ai,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
mistral.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
nrich.ai,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
onlymonster.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
openai.com,microsoft|cloudflare,"{""microsoft"": ""third"", ""cloudflare"": ""third""}",True,False,True,True,"step 5 (SOA), step 6, "
opencode.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
otter.ai,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
perplexity.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
poly-ai.chat,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
programmaticx.ai,amazon,"{""amazon"": ""third""}",True,True,False,False,"step 5 (SOA), "
read.ai,amazon,"{""amazon"": ""third""}",True,True,False,False,"step 5 (SOA), "
rise-ai.com,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
sardine.ai,google,"{""google"": ""third""}",True,True,False,False,"step 5 (SOA), "
scite.ai,amazon,"{""amazon"": ""third""}",True,True,False,False,"step 5 (SOA), "
seaart.ai,amazon,"{""amazon"": ""third""}",True,True,False,False,"step 5 (SOA), "
secureprivacy.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
securiti.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
shoplift.ai,amazon,"{""amazon"": ""third""}",True,True,False,False,"step 5 (SOA), "
shortpixel.ai,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
sider.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
smartico.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
suno.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
superops.ai,amazon,"{""amazon"": ""third""}",True,True,False,False,"step 5 (SOA), "
syntx.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
talkie-ai.com,akamai|alibaba,"{""akamai"": ""private"", ""alibaba"": ""private""}",False,False,True,False,"step 6, step 6, "
toolify.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
trae.ai,akamai,"{""akamai"": ""third""}",True,True,False,False,"step 6, "
trafficguard.ai,amazon,"{""amazon"": ""third""}",True,True,False,False,"step 5 (SOA), "
vdo.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
verisoul.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
vivint.ai,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
wisprflow.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 7, "
x.ai,cloudflare,"{""cloudflare"": ""third""}",True,True,False,False,"step 5 (SOA), "
