domain,CA Name,type,Stapled
googleapis.com,US | Google Trust Services | WE2,private,
microsoft.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 16,private,
cloudflare.com,US | Google Trust Services | WE1,third,
gstatic.com,US | Google Trust Services | WE2,private,
apple.com,US | Apple Inc. | Apple Public EV Server ECC CA 1 - G1,private,
google.com,US | Google Trust Services | WE2,private,
facebook.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
amazonaws.com,US | Amazon | Amazon RSA 2048 M04,private,
googlevideo.com,US | Google Trust Services | WR2,third,
fbcdn.net,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
amazon.com,US | DigiCert Inc | www.digicert.com | GeoTrust TLS RSA CA G1,third,
youtube.com,US | Google Trust Services | WE2,private,
instagram.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
whatsapp.net,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
live.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 16,private,
doubleclick.net,US | Google Trust Services | WE2,private,
bing.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,private,
apple-dns.net,,unknown,
netflix.com,US | DigiCert Inc | DigiCert Global G3 TLS ECC SHA384 2020 CA1,third,
akadns.net,,unknown,
ntp.org,US | Let's Encrypt | YR2,third,
googleusercontent.com,US | Google Trust Services | WE2,private,
icloud.com,US | Apple Inc. | Apple Public Server ECC CA 1 - G1,private,
googlesyndication.com,US | Google Trust Services | WE2,private,
cdninstagram.com,,unknown,
chatgpt.com,US | Google Trust Services | WE1,third,
cloudflare-dns.com,US | Texas | Houston | SSL Corp | SSL.com SSL Intermediate CA ECC R2,third,
akamai.net,,unknown,
aaplimg.com,,unknown,
tiktokcdn.com,,unknown,
tiktokv.com,US | DigiCert Inc | www.digicert.com | RapidSSL TLS ECC CA G1,third,
cloudfront.net,,unknown,
ui.com,US | Amazon | Amazon RSA 2048 M04,third,
ytimg.com,,unknown,
akamaiedge.net,,unknown,
edgcdn.net,,unknown,
yahoo.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
gvt2.com,,unknown,
spotify.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
fastly.net,US | Certainly | Certainly Intermediate R1,third,
roblox.com,GB | Sectigo Limited | Sectigo Public Server Authentication CA OV R36,third,
baidu.com,BE | GlobalSign nv-sa | GlobalSign RSA OV SSL CA 2018,third,
office.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 10,private,
sentry.io,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
wikipedia.org,US | Let's Encrypt | YE1,third,
criteo.com,US | Let's Encrypt | YR2,third,
app-analytics-services.com,US | Google Trust Services | WE2,third,
app-measurement.com,US | Google Trust Services | WE2,private,
gvt1.com,,unknown,
prodregistryv2.org,US | Let's Encrypt | YR1,third,
steamserver.net,,unknown,
dns.google,US | Google Trust Services | WE2,private,
one.one,US | Let's Encrypt | YR2,third,
google-analytics.com,US | Google Trust Services | WE2,private,
msftncsi.com,US | DigiCert Inc | DigiCert Global G3 TLS ECC SHA384 2020 CA1,third,
snapchat.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
applovin.com,US | Google Trust Services | WR3,third,
3gppnetwork.org,,unknown,
appsflyersdk.com,US | Amazon | Amazon RSA 2048 M02,third,
trafficmanager.net,,unknown,
azure.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,private,
whatsapp.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
googletagmanager.com,US | Google Trust Services | WE2,private,
windows.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 04,private,
amazon-adsystem.com,US | Amazon | Amazon RSA 2048 M01,third,
msn.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,private,
googleadservices.com,US | Google Trust Services | WE2,private,
ggpht.com,,unknown,
oxylabs.io,US | Google Trust Services | WE1,third,
amazon.dev,,unknown,
linkedin.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
windows.net,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,unknown,
unity3d.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
microsoftonline.com,,unknown,
a2z.com,,unknown,
adtrafficquality.google,US | Google Trust Services | WE2,third,
