domain,CA Name,type,Stapled
3gppnetwork.org,unknown,unknown,
a2z.com,unknown,unknown,
aaplimg.com,unknown,unknown,
adnxs.com,US | DigiCert Inc | www.digicert.com | GeoTrust TLS ECC CA G1,third,
adobe.com,US | DigiCert Inc | DigiCert Global G3 TLS ECC SHA384 2020 CA1,third,
adobe.io,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
adsafeprotected.com,US | Amazon | Amazon RSA 2048 M04,third,
adsrvr.org,BE | GlobalSign nv-sa | GlobalSign GCC R3 DV TLS CA 2020,third,
adtrafficquality.google,US | Google Trust Services | WE2,third,
aiv-delivery.net,unknown,unknown,
akadns.net,unknown,unknown,
akamai.net,unknown,unknown,
akamaiedge.net,unknown,unknown,
akamaized.net,unknown,unknown,
aliyuncs.com,BE | GlobalSign nv-sa | GlobalSign GCC R3 OV TLS CA 2024,third,
allawnos.com,unknown,unknown,
amazon-adsystem.com,US | Amazon | Amazon RSA 2048 M01,third,
amazon.com,US | DigiCert Inc | www.digicert.com | GeoTrust TLS RSA CA G1,third,
amazon.dev,unknown,unknown,
amazonalexa.com,US | Amazon | Amazon RSA 2048 M04,third,
amazonaws.com,US | Amazon | Amazon RSA 2048 M04,private,
amazonvideo.com,US | Amazon | Amazon RSA 2048 M01,private,
ampproject.org,US | Google Trust Services | WE2,private,
android.com,US | Google Trust Services | WE2,private,
app-analytics-services.com,US | Google Trust Services | WE2,third,
app-measurement.com,US | Google Trust Services | WE2,private,
apple-dns.net,unknown,unknown,
apple.com,US | Apple Inc. | Apple Public EV Server ECC CA 1 - G1,private,
applovin.com,US | Google Trust Services | WR3,third,
appsflyer.com,US | Amazon | Amazon RSA 2048 M04,third,
appsflyersdk.com,US | Amazon | Amazon RSA 2048 M02,third,
avast.com,GB | Sectigo Limited | Sectigo Public Server Authentication CA OV R36,third,
avcdn.net,US | DigiCert Inc | DigiCert Global G3 TLS ECC SHA384 2020 CA1,third,
avsxappcaptiveportal.com,unknown,unknown,
aws.dev,unknown,unknown,
ax-msedge.net,unknown,unknown,
azure.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,private,
azureedge.net,US | Microsoft Corporation | Microsoft TLS G2 ECC CA OCSP 02,private,
azurefd.net,US | Microsoft Corporation | Microsoft TLS G2 ECC CA OCSP 02,third,
baidu.com,BE | GlobalSign nv-sa | GlobalSign RSA OV SSL CA 2018,third,
beyondwickedmapping.org,US | Let's Encrypt | YR2,third,
bing.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,private,
byteoversea.net,unknown,unknown,
capcutapi.com,unknown,unknown,
casalemedia.com,US | Let's Encrypt | E8,third,
cdn-apple.com,unknown,unknown,
cdn77.org,unknown,unknown,
cdninstagram.com,unknown,unknown,
chatgpt.com,US | Google Trust Services | WE1,third,
clarity.ms,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 10,unknown,
cloud.microsoft,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 04,private,
cloudflare-dns.com,US | Texas | Houston | SSL Corp | SSL.com SSL Intermediate CA ECC R2,third,
cloudflare.com,US | Google Trust Services | WE1,third,
cloudflare.net,US | Let's Encrypt | YE2,third,
cloudfront.net,unknown,unknown,
crashlytics.com,US | Google Trust Services | WE2,private,
criteo.com,US | Let's Encrypt | YR2,third,
datadoghq.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
digicert.com,US | DigiCert Inc | DigiCert EV RSA CA G2,third,
discord.com,US | Google Trust Services | WE1,third,
dns.google,US | Google Trust Services | WE2,private,
doubleclick.net,US | Google Trust Services | WE2,private,
doubleverify.com,US | Let's Encrypt | YE1,third,
douyincdn.com,unknown,unknown,
dropbox.com,US | DigiCert Inc | DigiCert Global G3 TLS ECC SHA384 2020 CA1,third,
ebay.com,GB | Sectigo Limited | Sectigo Public Server Authentication CA OV R40,third,
edgcdn.net,unknown,unknown,
edgekey.net,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
edgesuite.net,unknown,unknown,
epicgames.com,US | Amazon | Amazon RSA 2048 M04,third,
example.com,US | SSL Corporation | Cloudflare TLS Issuing ECC CA 3,third,
eye4.cn,US | DigiCert Inc | www.digicert.com | RapidSSL TLS RSA CA G1,third,
facebook.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
facebook.net,unknown,unknown,
fastly-edge.com,unknown,unknown,
fastly.net,US | Certainly | Certainly Intermediate R1,third,
fbcdn.net,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
featureassets.org,US | Let's Encrypt | YR1,third,
firetvcaptiveportal.com,unknown,unknown,
gamepass.com,US | Microsoft Corporation | Microsoft TLS G2 RSA CA OCSP 02,unknown,
ggpht.com,unknown,unknown,
github.com,GB | Sectigo Limited | Sectigo Public Server Authentication CA DV E36,third,
gmail.com,US | Google Trust Services | WE2,private,
google-analytics.com,US | Google Trust Services | WE2,private,
google.cn,US | Google Trust Services | WE2,private,
google.com,US | Google Trust Services | WE2,private,
googleadservices.com,US | Google Trust Services | WE2,private,
googleapis.com,US | Google Trust Services | WE2,private,
googlesyndication.com,US | Google Trust Services | WE2,private,
googletagmanager.com,US | Google Trust Services | WE2,private,
googleusercontent.com,US | Google Trust Services | WE2,private,
googlevideo.com,US | Google Trust Services | WR2,third,
gstatic.com,US | Google Trust Services | WE2,private,
gvt1.com,unknown,unknown,
gvt2.com,unknown,unknown,
heytapdl.com,unknown,unknown,
heytapmobile.com,unknown,unknown,
ibyteimg.com,unknown,unknown,
icloud.com,US | Apple Inc. | Apple Public Server ECC CA 1 - G1,private,
inmobi.com,GB | Sectigo Limited | Sectigo Public Server Authentication CA OV R36,third,
inner-active.mobi,unknown,unknown,
instagram.com,US | DigiCert Inc | DigiCert Global G2 TLS RSA SHA256 2020 CA1,third,
ip-api.com,GB | Sectigo Limited | Sectigo Public Server Authentication CA DV R36,third,
