website,cdns,cdn_types,uses_third_party,critical_dependency,redundant,mult_third,step_id
06yahoo.com,yahoo,"{""yahoo"": ""private""}",False,False,False,False,"step 3, "
0wikipedia.org,wikimedia|cloudflare,"{""wikimedia"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
1-urlm.co,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
1001fonts.com,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
100ms.live,microsoft|amazon,"{""microsoft"": ""private"", ""amazon"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
1010discs.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
101xp.com,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
103.by,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
10xgenomics.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
111percent.net,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
11alive.com,microsoft|amazon|akamai,"{""microsoft"": ""private"", ""amazon"": ""third"", ""akamai"": ""third""}",True,False,True,True,"step 3, step 5 (SOA), step 6, "
11clubhouse.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
123apps.io,gcore,"{""gcore"": ""private""}",False,False,False,False,"step 5 (SOA), "
123flmsfree.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
123pelicula.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
126.net,netease,"{""netease"": ""private""}",False,False,False,False,"step 2, "
163jiasu.com,netease,"{""netease"": ""private""}",False,False,False,False,"step 2, "
173livek.com,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 3, "
173lives.com,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 3, "
173liveu.com,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 3, "
17track.net,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 6, "
1c.eu,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
1clickvpn.com,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
1drv.com,microsoft,"{""microsoft"": ""private""}",False,False,False,False,"step 5 (SOA), "
1e100.net,google,"{""google"": ""private""}",False,False,False,False,"step 2, "
1e100cdn.net,google,"{""google"": ""private""}",False,False,False,False,"step 3, "
1panel.live,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
1px.tw,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
1stopbedrooms.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
1xbet.mobi,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
1xbetjap.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
209qu4892fh8934.live,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
22bet.co.ke,cloudflare|twitter,"{""cloudflare"": ""private"", ""twitter"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
22bet.ug,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
247pornvids.net,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
247sexvideo.net,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
24live.com,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
24ur.si,google,"{""google"": ""private""}",False,False,False,False,"step 5 (SOA), "
2ch.su,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
2fa.live,microsoft|cloudflare,"{""microsoft"": ""private"", ""cloudflare"": ""third""}",True,False,True,False,"step 3, step 5 (SOA), "
2gis.ae,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
2giskz.app,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
2o7.net,adobe,"{""adobe"": ""private""}",False,False,False,False,"step 2, "
2pbff.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
30d.jp,amazon,"{""amazon"": ""private""}",False,False,False,False,"step 5 (SOA), "
30minuteproject.com,cloudflare|twitter,"{""cloudflare"": ""private"", ""twitter"": ""private""}",False,False,True,False,"step 5 (SOA), step 6, "
321moviesfree.com,cloudflare,"{""cloudflare"": ""private""}",False,False,False,False,"step 5 (SOA), "
