DOMAIN,NAMESERVER,TYPE,REASON,PROVIDER,DEPENDENCY,REDUNDANT,ENTITY_COUNT
163jiasu.com,ns3.163img.com,third,SOA rname points to: nease,N/A,Critical dependency,False,1
163jiasu.com,ns2.163img.com,third,SOA rname points to: nease,N/A,Critical dependency,False,1
163jiasu.com,ns4.163img.com,third,SOA rname points to: nease,N/A,Critical dependency,False,1
163jiasu.com,ns1.163img.com,third,SOA rname points to: nease,N/A,Critical dependency,False,1
360cdn.com,ns2.jindun9.com,third,SOA mname points to third party: jindun9,jindun9,Critical dependency,False,1
360cdn.com,ns1.jindun9.com,third,SOA mname points to third party: jindun9,jindun9,Critical dependency,False,1
adobedtm.com,ns202.adobe.net,private,"Domanin name is contained in the nameserver, signaling ownership",adobe.net,Critical dependency,True,2
adobedtm.com,ns206.adobe.net,private,"Domanin name is contained in the nameserver, signaling ownership",adobe.net,Critical dependency,True,2
adobedtm.com,ns204.adobe.net,private,"Domanin name is contained in the nameserver, signaling ownership",adobe.net,Critical dependency,True,2
adobedtm.com,ns205.adobe.net,private,"Domanin name is contained in the nameserver, signaling ownership",adobe.net,Critical dependency,True,2
adobedtm.com,ns201.adobe.info,private,"Domanin name is contained in the nameserver, signaling ownership",adobe.info,Critical dependency,True,2
adobedtm.com,ns203.adobe.net,private,"Domanin name is contained in the nameserver, signaling ownership",adobe.net,Critical dependency,True,2
adobedtm.com,ns202.adobe.info,private,"Domanin name is contained in the nameserver, signaling ownership",adobe.info,Critical dependency,True,2
adobedtm.com,ns201.adobe.net,private,"Domanin name is contained in the nameserver, signaling ownership",adobe.net,Critical dependency,True,2
akamai.net,zc.akamaitech.net,private,"Domanin name is contained in the nameserver, signaling ownership",akamaitech.net,Critical dependency,False,1
akamai.net,zd.akamaitech.net,private,"Domanin name is contained in the nameserver, signaling ownership",akamaitech.net,Critical dependency,False,1
akamai.net,ze.akamaitech.net,private,"Domanin name is contained in the nameserver, signaling ownership",akamaitech.net,Critical dependency,False,1
akamai.net,zg.akamaitech.net,private,"Domanin name is contained in the nameserver, signaling ownership",akamaitech.net,Critical dependency,False,1
akamai.net,zh.akamaitech.net,private,"Domanin name is contained in the nameserver, signaling ownership",akamaitech.net,Critical dependency,False,1
akamai.net,ns3-193.akamaitech.net,private,"Domanin name is contained in the nameserver, signaling ownership",akamaitech.net,Critical dependency,False,1
