domain_name,mname,rname,type,reason
microsoft.com,ns1-39.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
googleapis.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
cloudflare.com,ns3.cloudflare.com,dns.cloudflare.com,private,SOA mname and rname both match domain
gstatic.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
apple.com,ns-ext-prod.jackfruit.apple.com,dnscontact.apple.com,private,SOA mname and rname both match domain
google.com,ns1.google.com,dns-admin.google.com,private,SOA mname and rname both match domain
facebook.com,a.ns.facebook.com,dns.facebook.com,private,SOA mname and rname both match domain
amazonaws.com,dns-external-route53.us-east-1.amazonaws.com,hostmaster.amazon.com,managed by third party,SOA rname points to: hostmaster
googlevideo.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
fbcdn.net,a.ns.facebook.com,dns.facebook.com,third,SOA mname points to third party: facebook
amazon.com,dns-external-route53.us-east-1.amazonaws.com,root.amazon.com,third,SOA mname points to third party: amazonaws
youtube.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
instagram.com,a.ns.instagram.com,dns.facebook.com,managed by third party,SOA rname points to: facebook
whatsapp.net,a.ns.whatsapp.net,dns.whatsapp.net,private,SOA mname and rname both match domain
live.com,ns1-37.azure-dns.com,msnhst.microsoft.com,third,SOA mname points to third party: azure
doubleclick.net,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
bing.com,ns1-204.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
apple-dns.net,ns-ext-prod.jackfruit.apple.com,dnscontact.apple.com,third,SOA mname points to third party: jackfruit
netflix.com,ns-81.awsdns-10.com,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
akadns.net,internal.akadns.net,hostmaster.akamai.com,managed by third party,SOA rname points to: hostmaster
ntp.org,ns1.everett.org,postmaster.ntp.org,third,SOA mname points to third party: everett
googleusercontent.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
icloud.com,ns-ext-prod.jackfruit.apple.com,dnscontact.apple.com,third,SOA mname points to third party: jackfruit
googlesyndication.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
cdninstagram.com,a.ns.instagram.com,dns.facebook.com,third,SOA mname points to third party: instagram
chatgpt.com,hassan.ns.cloudflare.com,dns.cloudflare.com,third,SOA mname points to third party: hassan
cloudflare-dns.com,ns1.cloudflare-dns.com,dns.cloudflare.com,managed by third party,SOA rname points to: cloudflare
akamai.net,internal.akamaitech.net,hostmaster.akamai.com,third,SOA mname points to third party: internal
aaplimg.com,ns-ext-prod.jackfruit.apple.com,dnscontact.apple.com,third,SOA mname points to third party: jackfruit
tiktokcdn.com,a9-66.akam.net,hostmaster.akamai.com,third,SOA mname points to third party: akam
tiktokv.com,a9-66.akam.net,hostmaster.akamai.com,third,SOA mname points to third party: akam
cloudfront.net,ns-418.awsdns-52.com,hostmaster.cloudfront.net,third,SOA mname points to third party: awsdns
ui.com,ns-1849.awsdns-39.co.uk,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
ytimg.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
akamaiedge.net,internal.akamaiedge.net,hostmaster.akamai.com,managed by third party,SOA rname points to: hostmaster
edgcdn.net,treasure.ns.cloudflare.com,dns.cloudflare.com,third,SOA mname points to third party: treasure
yahoo.com,ns1.yahoo.com,hostmaster.yahoo-inc.com,managed by third party,SOA rname points to: hostmaster
gvt2.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
spotify.com,dns1.p07.nsone.net,hostmaster.nsone.net,third,SOA mname points to third party: nsone
fastly.net,ns1.fastly.net,hostmaster.fastly.com,managed by third party,SOA rname points to: hostmaster
samsung.com,dns02.cst.ic,ssdomain.samsung.com,third,SOA mname points to third party: cst
roblox.com,dns1.p06.nsone.net,hostmaster.nsone.net,third,SOA mname points to third party: nsone
baidu.com,dns.baidu.com,sa.baidu.com,private,SOA mname and rname both match domain
office.com,ns1-05.azure-dns.com,msnhst.microsoft.com,third,SOA mname points to third party: azure
sentry.io,ns-cloud-d1.googledomains.com,cloud-dns-hostmaster.google.com,third,SOA mname points to third party: googledomains
wikipedia.org,ns0.wikimedia.org,hostmaster.wikimedia.org,third,SOA mname points to third party: wikimedia
criteo.com,ns1.criteo.com,dns.criteo.com,private,SOA mname and rname both match domain
app-analytics-services.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
app-measurement.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
gvt1.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
prodregistryv2.org,ns-1528.awsdns-63.org,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
steamserver.net,ns1.valvesoftware.com,admin.valvesoftware.com,third,SOA mname points to third party: valvesoftware
dns.google,ns1.zdns.google,cloud-dns-hostmaster.google.com,third,SOA mname points to third party: zdns
one.one,a.b-one-dns.net,hostmaster.one.com,third,SOA mname points to third party: net
google-analytics.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
msftncsi.com,ns1-34.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
snapchat.com,ns-220.awsdns-27.com,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
applovin.com,ns-cloud-c1.googledomains.com,hostmaster.akamai.com,third,SOA mname points to third party: googledomains
3gppnetwork.org,dns51.cloudns.net,support.cloudns.net,third,SOA mname points to third party: cloudns
appsflyersdk.com,ns-1430.awsdns-50.org,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
trafficmanager.net,tm1.dns-tm.com,hostmaster.trafficmanager.net,third,SOA mname points to third party: com
azure.com,ns1-39.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
whatsapp.com,a.ns.whatsapp.net,dns.whatsapp.net,third,SOA mname points to third party: whatsapp
googletagmanager.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
windows.com,ns1-205.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
amazon-adsystem.com,dns-external-route53.us-east-1.amazonaws.com,root.amazon.com,third,SOA mname points to third party: amazonaws
msn.com,ns1-204.azure-dns.com,azuredns-hostmaster.microsoft.com,third,SOA mname points to third party: azure
googleadservices.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
ggpht.com,ns1.google.com,dns-admin.google.com,third,SOA mname points to third party: google
oxylabs.io,brit.ns.cloudflare.com,dns.cloudflare.com,third,SOA mname points to third party: brit
amazon.dev,ns-729.awsdns-27.net,awsdns-hostmaster.amazon.com,third,SOA mname points to third party: awsdns
